epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,7595.34,2.18712,0.47888,0.35006,1.24808,0.00371,0.02996,0.76141,0.50713,0.58231,0.29557,0,0,0,0,2.00169,0,1.86713,1.10628,0.00479,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,7911.89,2.20545,0.49845,0.35712,1.24482,0.00371,0.032,0.74278,0.5072,0.58375,0.29228,0,0,0,0,2.01475,0,1.9581,1.08727,0.00477,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,8228.45,2.19581,0.49658,0.35086,1.24108,0.00365,0.0252,0.7471,0.51509,0.58881,0.29735,0,0,0,0,1.98467,0,1.96933,1.08406,0.00473,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,8542.82,2.1903,0.49346,0.35554,1.24167,0.00371,0.02892,0.74061,0.51106,0.58587,0.29195,0,0,0,0,2.0019,0,1.93968,1.09494,0.00477,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,8859.39,2.2097,0.48364,0.35134,1.22816,0.00368,0.02191,0.76519,0.52524,0.60345,0.30811,0,0,0,0,1.9709,0,2.00657,1.05621,0.0047,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,9171.41,2.17739,0.48367,0.34748,1.22145,0.00369,0.02768,0.75246,0.51511,0.59158,0.29949,0,0,0,0,1.98697,0,1.98391,1.07173,0.00472,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,9482.19,2.18776,0.47256,0.34371,1.22423,0.00366,0.01896,0.76053,0.52212,0.60221,0.30662,0,0,0,0,1.97374,0,1.98064,1.05032,0.00468,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,9795.37,2.17472,0.47273,0.34415,1.21666,0.00369,0.02155,0.75921,0.51983,0.60122,0.3012,0,0,0,0,1.99717,0,1.96733,1.06047,0.00471,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,10109.3,2.19937,0.46827,0.34133,1.22445,0.00363,0.0156,0.75828,0.52232,0.60105,0.30366,0,0,0,0,1.98735,0,2.05053,1.05065,0.00471,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,10419.8,2.17533,0.45945,0.33698,1.20477,0.00361,0.01504,0.75709,0.5261,0.60395,0.30725,0,0,0,0,1.96295,0,2.04687,1.06203,0.00463,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,10731.1,2.15813,0.4775,0.33843,1.21148,0.00367,0.02031,0.76495,0.52781,0.60758,0.30751,0,0,0,0,1.96949,0,2.03066,1.04791,0.00463,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,11044.5,2.17234,0.46383,0.34057,1.2126,0.00363,0.01872,0.76149,0.52504,0.60471,0.30677,0,0,0,0,1.96593,0,1.98381,1.05788,0.00464,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,11361,2.16857,0.47541,0.34372,1.22516,0.00368,0.01828,0.75761,0.52265,0.60429,0.30827,0,0,0,0,1.9569,0,1.96315,1.0595,0.0046,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,11672.7,2.1723,0.46423,0.33984,1.21337,0.00359,0.02092,0.75848,0.53083,0.60909,0.31208,0,0,0,0,1.947,0,2.01658,1.04728,0.00458,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,11986.7,2.17197,0.46531,0.34153,1.2099,0.00357,0.01866,0.75135,0.52665,0.60427,0.30871,0,0,0,0,1.94944,0,2.02745,1.04527,0.00457,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,12299.8,2.16457,0.46765,0.34324,1.21151,0.00363,0.0219,0.76531,0.53408,0.61571,0.31531,0,0,0,0,1.94476,0,2.09366,1.03341,0.00456,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,12613.7,2.18422,0.46678,0.3438,1.214,0.00359,0.02156,0.76678,0.52607,0.60768,0.31126,0,0,0,0,1.95,0,2.00337,1.04334,0.00458,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,12925.7,2.1383,0.46192,0.33496,1.18257,0.0036,0.0127,0.77378,0.52931,0.61177,0.31412,0,0,0,0,1.94634,0,2.06283,1.03343,0.00456,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,13236.9,2.15583,0.46211,0.33687,1.19983,0.00357,0.02529,0.76427,0.53479,0.61596,0.31652,0,0,0,0,1.93817,0,2.01821,1.02833,0.00454,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,13548.5,2.14141,0.45466,0.33347,1.19456,0.00362,0.01641,0.76555,0.53046,0.61337,0.31463,0,0,0,0,1.93865,0,2.07349,1.02602,0.00454,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
