epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,7931.76,2.0651,0.3931,0.32747,1.13092,0.00341,0.01688,0.77394,0.55358,0.64097,0.33699,0,0,0,0,1.87398,0,1.97837,0.98904,0.00443,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,8259.44,2.07624,0.41297,0.33372,1.14661,0.0034,0.01378,0.75833,0.55437,0.6361,0.32776,0,0,0,0,1.89411,0,1.98317,1.00135,0.00447,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,8586.34,2.07326,0.40403,0.32676,1.1326,0.00334,0.01085,0.76876,0.56124,0.64073,0.32974,0,0,0,0,1.87887,0,2.02741,0.98879,0.00443,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,8914.27,2.06108,0.39637,0.32891,1.1328,0.00339,0.01018,0.77462,0.55406,0.63832,0.32863,0,0,0,0,1.90535,0,2.12595,0.98729,0.00447,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,9242.62,2.07809,0.39749,0.32692,1.12457,0.00335,0.01144,0.77993,0.56119,0.64629,0.34035,0,0,0,0,1.86469,0,2.08126,0.97705,0.00441,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,9571.27,2.04986,0.38534,0.32193,1.11882,0.00337,0.01009,0.76446,0.55236,0.63891,0.33443,0,0,0,0,1.87011,0,2.18248,0.98585,0.00437,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,9896.69,2.05465,0.38119,0.31915,1.11471,0.00332,0.00818,0.77437,0.55744,0.64565,0.33884,0,0,0,0,1.86693,0,2.11687,0.97564,0.00437,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,10224.4,2.04851,0.38207,0.32108,1.11212,0.00337,0.01256,0.7761,0.56567,0.65109,0.33505,0,0,0,0,1.88439,0,2.15528,0.9775,0.00438,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,10550.9,2.06702,0.37065,0.31632,1.11239,0.00329,0.00814,0.77626,0.56592,0.65302,0.34029,0,0,0,0,1.87145,0,2.06862,0.96393,0.00436,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,10876.5,2.04846,0.37084,0.31318,1.09974,0.0033,0.00794,0.76906,0.5688,0.65196,0.33746,0,0,0,0,1.86497,0,2.11142,0.9721,0.00432,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
