epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,7769.17,1.94717,0.28131,0.2969,1.04697,0.00312,-1.86759,0.78074,0.56688,0.65471,0.3498,0,0,0,0,1.82989,0,1.91526,0.96925,0.00432,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,8095.6,1.96408,0.30141,0.30267,1.05742,0.00313,-1.79028,0.77246,0.56598,0.65115,0.33854,0,0,0,0,1.87792,0,1.89062,0.97274,0.00442,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,8417.36,1.96006,0.29659,0.29659,1.05048,0.00308,-1.82027,0.78003,0.56683,0.65453,0.34022,0,0,0,0,1.86099,0,1.95104,0.9756,0.00439,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,8744.65,1.95947,0.2929,0.29768,1.0522,0.00314,-1.84586,0.76179,0.56359,0.64439,0.33701,0,0,0,0,1.87031,0,1.85306,0.975,0.0044,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,9074.5,1.97157,0.29031,0.29733,1.0472,0.0031,-1.88196,0.78233,0.5706,0.65838,0.34824,0,0,0,0,1.84671,0,1.89022,0.95085,0.00434,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,9398.7,1.94558,0.28891,0.29638,1.04027,0.00312,-1.83584,0.76995,0.57012,0.6532,0.34179,0,0,0,0,1.86642,0,1.93664,0.96306,0.00438,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,9722.96,1.95159,0.28158,0.29195,1.04205,0.00309,-1.86718,0.77758,0.573,0.65866,0.34684,0,0,0,0,1.85395,0,1.92492,0.95179,0.00435,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,10049.3,1.94066,0.28419,0.29312,1.04029,0.00312,-1.89118,0.78108,0.56724,0.65765,0.34123,0,0,0,0,1.86732,0,1.89704,0.9705,0.00437,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,10375,1.9658,0.27801,0.29169,1.05009,0.00307,-1.87947,0.78118,0.56829,0.65808,0.34747,0,0,0,0,1.85139,0,1.919,0.95313,0.00434,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,10700.1,1.94672,0.27871,0.28979,1.03556,0.00307,-1.89987,0.78446,0.57056,0.65928,0.34454,0,0,0,0,1.852,0,1.90994,0.95671,0.00434,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,11020.2,1.93452,0.28413,0.2873,1.03088,0.00313,-1.9031,0.76989,0.57482,0.65819,0.34528,0,0,0,0,1.84775,0,1.92974,0.95359,0.00434,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,11345.2,1.94757,0.28006,0.28951,1.03422,0.00309,-1.91928,0.77782,0.57497,0.66126,0.34676,0,0,0,0,1.85765,0,1.92569,0.95148,0.00435,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,11667.7,1.94951,0.28507,0.2921,1.043,0.00313,-1.88163,0.76683,0.56653,0.65169,0.34326,0,0,0,0,1.85021,0,1.95652,0.96,0.00432,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,11993.9,1.94903,0.28254,0.29299,1.03979,0.00306,-1.89589,0.77559,0.57112,0.65807,0.34726,0,0,0,0,1.84613,0,1.91909,0.94605,0.0043,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,12321.8,1.94727,0.28143,0.29118,1.04096,0.00305,-1.92643,0.76177,0.57032,0.65401,0.3456,0,0,0,0,1.83746,0,1.91504,0.95545,0.00428,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,12644.6,1.94782,0.28034,0.29147,1.03316,0.0031,-1.95125,0.77389,0.57837,0.66418,0.35115,0,0,0,0,1.8362,0,1.89904,0.94336,0.00427,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,12967.6,1.95509,0.28587,0.29317,1.04899,0.00305,-1.92606,0.77608,0.56831,0.65846,0.34896,0,0,0,0,1.83119,0,1.92727,0.95551,0.00428,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,13289.9,1.92086,0.27736,0.28637,1.02425,0.00308,-1.98687,0.774,0.57109,0.65788,0.35012,0,0,0,0,1.83287,0,1.92785,0.94647,0.00428,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,13614.4,1.9373,0.27584,0.28641,1.03261,0.00305,-1.95275,0.78753,0.57278,0.66462,0.35284,0,0,0,0,1.82925,0,1.92266,0.94404,0.00427,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,13941.6,1.92796,0.27589,0.28709,1.03072,0.0031,-1.97323,0.76825,0.57615,0.66089,0.35234,0,0,0,0,1.82529,0,1.91955,0.94263,0.00426,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,14266.6,1.93384,0.28379,0.28963,1.03598,0.00308,-2.01817,0.76448,0.57487,0.65862,0.35172,0,0,0,0,1.81965,0,1.92019,0.94753,0.00425,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,14589.7,1.94102,0.27448,0.28825,1.03428,0.00306,-2.0092,0.77883,0.57761,0.66383,0.35301,0,0,0,0,1.82684,0,1.91347,0.94016,0.00426,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
